ID,CIUDAD,SEP2019,SEP2018,SEPNORMAL
1,Arica,5.8,0.0,1.5
2,Iquique,4.4,0.0,0.9
3,Calama,18.0,3.0,5.7
4,Antofagasta,0.4,0.8,2.0
5,Caldera,0.0,0.6,S/I
6,La Serena,12.2,45.0,81.6
7,Valparaíso,82.5,198.5,369.2
8,Santiago,66.6,120.6,296.4
9,Juan Fernández,598.7,813.3,852.3
10,Curicó,137.8,288.4,565.1
11,Chillán,560.6,449.3,868.3
12,Concepción,579.0,547.9,899.6
13,Temuco,667.9,769.3,871.0
14,Valdivia,890.3,1136.0,1377.1
15,Osorno,666.0,969.3,956.4
16,Puerto Montt,827.8,962.2,1174.4
17,Coyhaique,609.2,698.5,740.7
18,Balmaceda,365.2,313.6,406.9
19,Punta Arenas,247.5,276.8,293.8